name,version,batch,status,tasks_finished,dur_mins,started,progressed,profile,complete,assignmentId,trials,hitId,workerId,pid,return
artistic-horse,4,a,finished,3,10,2021-10-12 16:23:24.431,2021-10-12 16:31:52.655,1,0,prolific_______,0,______,______,13334,https://cri-datacap.org/surveys/?s=rsfyJqGxsb
trusty-vervet,4,a,finished,3,9,2021-10-12 18:00:14.377,2021-10-12 18:07:20.038,1,0,prolific_test_jd_01,0,test_jd_01,test_jd_01,13334,https://cri-datacap.org/surveys/?s=wDURIpHnuu
credible-raccoon,4,a,finished,3,10,2021-10-12 18:40:39.343,2021-10-12 18:48:45.458,0,1,prolific_______,0,______,test_jd_01,13334,https://cri-datacap.org/surveys/?s=KtU3Ur7kEo
merry-bee,4,a,finished,3,13,2021-10-13 16:07:35.984,2021-10-13 16:20:12.619,1,0,prolific_6165a5744ac311682252f608,0,616701ee37dc2dcabae15f6b,61621710c513826cd3025beb,13334,https://cri-datacap.org/surveys/?s=KijB4CZFiz
intense-jackass,4,a,finished,3,13,2021-10-13 16:12:28.655,2021-10-13 16:24:41.120,1,0,prolific_6165a5744ac311682252f608,0,61670371a61824cdf50a78e5,6166e9bd55ad490ebde994ef,13334,https://cri-datacap.org/surveys/?s=ECQfM9QcGF
joint-turkey,4,a,finished,3,13,2021-10-13 16:25:50.193,2021-10-13 16:38:07.549,1,0,prolific_6165a5744ac311682252f608,0,6167064698e53625fd79b84c,6164ee388dad4e849278f9bc,13334,https://cri-datacap.org/surveys/?s=IDTGZJUip5
honest-leech,4,a,finished,3,13,2021-10-13 17:09:17.491,2021-10-13 17:22:57.183,1,0,prolific_6165a5744ac311682252f608,0,61670fd3215f71f57ae35961,615db3db89bfc1bd153d11f7,13334,https://cri-datacap.org/surveys/?s=j6KzgcYsXR
legal-octopus,4,a,finished,3,13,2021-10-13 17:18:47.809,2021-10-13 17:43:44.185,1,0,prolific_6165a5744ac311682252f608,0,61670638196feb9ecf7f7923,61114f5caa5a5ea8be510627,13334,https://cri-datacap.org/surveys/?s=mMeDeSRJXp
grateful-chigger,4,a,finished,3,13,2021-10-13 17:19:14.403,2021-10-13 17:29:53.317,0,1,prolific_6165a5744ac311682252f608,0,61670e24a0b01b8301816a76,615f839a99cab83b20e24c64,13334,https://cri-datacap.org/surveys/?s=8zSMdQpw4w
splendid-camel,4,a,finished,3,13,2021-10-13 17:22:52.626,2021-10-13 18:06:45.216,1,0,prolific_6165a5744ac311682252f608,0,616713a29f8a8f034766cd64,5f5e742a9d8fb6106b4ff5d9,13334,https://cri-datacap.org/surveys/?s=FwZzbpIeCa
workable-blowfish,4,a,finished,3,13,2021-10-13 17:30:46.993,2021-10-13 17:42:50.045,0,1,prolific_6165a5744ac311682252f608,0,616710caeb77895e03b22658,6167042496020e00ff1540f4,13334,https://cri-datacap.org/surveys/?s=UDx5XEt946
chief-worm,4,a,finished,3,13,2021-10-13 17:36:35.197,2021-10-13 17:54:28.573,0,1,prolific_6165a5744ac311682252f608,0,6167036e4c0609dcf6f4394f,60ff263eb5aec7c49a68ce19,13334,https://cri-datacap.org/surveys/?s=TEiWL5Qitk
supreme-amoeba,4,a,finished,3,13,2021-10-13 17:36:59.827,2021-10-13 17:48:29.453,0,1,prolific_6165a5744ac311682252f608,0,6167121a6844a43f305a10ae,60ff056b0dbd43f316517dcc,13334,https://cri-datacap.org/surveys/?s=iD2TaUewak
concise-redfish,4,a,finished,3,13,2021-10-13 18:10:00.310,2021-10-13 18:21:15.984,0,1,prolific_6165a5744ac311682252f608,0,61671a52507e0ab39e48403a,615bbe1b45c3c2e904778bce,13334,https://cri-datacap.org/surveys/?s=pcr3nGvmb6
delicate-ostrich,4,a,finished,3,13,2021-10-13 18:15:21.484,2021-10-13 18:26:33.008,0,1,prolific_6165a5744ac311682252f608,0,61671af5e60ed42c1b86429f,60fceb754c76b655673eece6,13334,https://cri-datacap.org/surveys/?s=ddUJXI3NkA
in-frog,4,a,finished,3,13,2021-10-13 18:33:25.165,2021-10-13 18:44:26.516,0,1,prolific_6165a5744ac311682252f608,0,61671ef2dc40e863aba03ab3,6137ef976fe89fa509174788,13334,https://cri-datacap.org/surveys/?s=wQAI53eJwm
star-fly,4,a,finished,3,13,2021-10-13 18:34:50.048,2021-10-13 18:46:40.627,1,0,prolific_6165a5744ac311682252f608,0,616723f87d4d2d6729abae07,614b30b7d19c5b30c7a40ada,13334,https://cri-datacap.org/surveys/?s=KwtoH6SIJ6
tight-viper,4,a,finished,3,13,2021-10-13 18:39:51.066,2021-10-13 18:51:23.182,1,0,prolific_6165a5744ac311682252f608,0,616726703d2ce567e4080636,60fcd7cdd071e0dddb0fea65,13334,https://cri-datacap.org/surveys/?s=vXHSHjtYjk
curious-escargot,4,a,finished,3,13,2021-10-13 18:41:43.700,2021-10-13 18:52:20.909,0,1,prolific_6165a5744ac311682252f608,0,6167202a557a6a3f6da1b6cf,6106f7942945f9ac949ccc0b,13334,https://cri-datacap.org/surveys/?s=4aYqNYtCo4
measured-pheasant,4,a,finished,3,13,2021-10-13 18:53:46.623,2021-10-13 19:04:30.027,0,1,prolific_6165a5744ac311682252f608,0,6167240066535edb515fc73d,61502f40011a858cafe6d3b5,13334,https://cri-datacap.org/surveys/?s=qYmWtcKRQN
able-mammoth,4,a,finished,3,13,2021-10-13 18:56:36.224,2021-10-13 19:08:33.990,1,0,prolific_6165a5744ac311682252f608,0,616729d1553086afa8b7af6d,61647cde20fcb4653d287158,13334,https://cri-datacap.org/surveys/?s=XZ7bJ9Nooc
blessed-bass,4,a,finished,3,13,2021-10-13 18:59:02.988,2021-10-13 19:10:28.673,0,1,prolific_6165a5744ac311682252f608,0,616724fc067ab143c74c803f,61085282a230691c4078e3c2,13334,https://cri-datacap.org/surveys/?s=oBaJEY5MRr
gorgeous-bull,4,a,finished,3,13,2021-10-13 19:03:12.529,2021-10-13 19:14:31.955,0,1,prolific_6165a5744ac311682252f608,0,61672752cd9ed5e85a8d3183,5e28c4b59f0de509e0322c85,13334,https://cri-datacap.org/surveys/?s=uTaNfpkMEQ
right-drake,4,a,finished,3,13,2021-10-13 19:05:23.036,2021-10-13 19:17:41.127,1,0,prolific_6165a5744ac311682252f608,0,61672bf8b1df6cad70e85a11,5acd57771667e40001d8cae6,13334,https://cri-datacap.org/surveys/?s=IhTY4rri3H
upright-condor,4,a,finished,3,13,2021-10-13 19:12:36.928,2021-10-13 19:24:41.164,1,0,prolific_6165a5744ac311682252f608,0,61672d1ae4c98d82188f92d1,615dd374dde51d88fe827fee,13334,https://cri-datacap.org/surveys/?s=QZimdWpQe2
thorough-pup,4,a,finished,3,13,2021-10-13 19:15:21.130,2021-10-13 19:28:04.969,1,0,prolific_6165a5744ac311682252f608,0,61671dad69396e335b9a9b89,6155bb4f5250fc58f16eca99,13334,https://cri-datacap.org/surveys/?s=TUqDxjmr5r
sterling-arachnid,4,a,finished,3,13,2021-10-13 19:18:22.914,2021-10-13 19:30:31.925,0,1,prolific_6165a5744ac311682252f608,0,616729c0fb4853b4f55b52cd,60fdbf79f5174b34d8b1e433,13334,https://cri-datacap.org/surveys/?s=mWh4euaS2Z
informed-molly,4,a,finished,3,13,2021-10-13 19:22:53.964,2021-10-13 19:34:16.403,1,0,prolific_6165a5744ac311682252f608,0,61673077bd83ffd965b824fe,614a414b5ae09058b43fc90b,13334,https://cri-datacap.org/surveys/?s=tCdL6wGJ7o
stable-tomcat,4,a,finished,3,13,2021-10-13 19:24:36.538,2021-10-13 19:35:24.989,0,1,prolific_6165a5744ac311682252f608,0,61672bcb16fef96903ea872c,616391ba4454223559d1ab23,13334,https://cri-datacap.org/surveys/?s=uvaRGJBjvr
adjusted-mustang,4,a,finished,3,13,2021-10-13 19:26:24.981,2021-10-13 19:37:56.467,0,1,prolific_6165a5744ac311682252f608,0,61672986e732a9173cd7820e,614beda2ac4673a322e2b132,13334,https://cri-datacap.org/surveys/?s=NG6BsGCD35
gorgeous-dory,4,a,finished,3,13,2021-10-13 19:31:54.183,2021-10-13 19:43:43.514,1,0,prolific_6165a5744ac311682252f608,0,616731e469682e8f770a9b8d,613910ff0126a33710e833e6,13334,https://cri-datacap.org/surveys/?s=fzy6XecwBI
rested-starfish,4,a,finished,3,13,2021-10-13 19:36:53.306,2021-10-13 19:48:00.294,0,1,prolific_6165a5744ac311682252f608,0,61672992feef5d5c4b1a48ad,60fd80043ee77f5be40c95a8,13334,https://cri-datacap.org/surveys/?s=HgjYRWXe7a
key-escargot,4,a,finished,3,13,2021-10-13 19:42:42.948,2021-10-13 19:53:48.831,0,1,prolific_6165a5744ac311682252f608,0,6167305e20dceed6232eb11d,610897dc497d9f84c7a8d12b,13334,https://cri-datacap.org/surveys/?s=oQ9Uep2TbZ
hardy-racer,4,a,finished,3,13,2021-10-13 19:43:37.337,2021-10-13 19:57:20.439,1,0,prolific_6165a5744ac311682252f608,0,616733dcd4ef490b7ac235a7,615b644f06b51b52c7c0c404,13334,https://cri-datacap.org/surveys/?s=SfeyJ5zGQW
destined-escargot,4,a,finished,3,13,2021-10-13 19:53:40.298,2021-10-13 20:04:28.802,0,1,prolific_6165a5744ac311682252f608,0,6167316359fd9244142f386a,610891856bfaa68af2980719,13334,https://cri-datacap.org/surveys/?s=wTIxmwZ3W3
finer-walleye,4,a,finished,3,13,2021-10-13 19:54:42.787,2021-10-13 20:05:32.175,0,1,prolific_6165a5744ac311682252f608,0,61673313f09f3cbd1ea39c1c,615f308f53b6cf616529f505,13334,https://cri-datacap.org/surveys/?s=dFxfiVLjUQ
smashing-ray,4,a,finished,3,13,2021-10-13 19:56:49.147,2021-10-13 20:10:58.771,0,1,prolific_6165a5744ac311682252f608,0,61673343c72fdbf2f78c1a4c,615e414028ec238978febf2d,13334,https://cri-datacap.org/surveys/?s=G33ShVZCC4
popular-buffalo,4,a,finished,3,13,2021-10-13 19:57:11.727,2021-10-13 20:08:16.853,0,1,prolific_6165a5744ac311682252f608,0,6167344018f191966bc97a66,60fd0adca696b6ceb4d32318,13334,https://cri-datacap.org/surveys/?s=JYURItjViH
musical-eagle,4,a,finished,3,13,2021-10-13 19:57:42.374,2021-10-13 20:09:09.112,0,1,prolific_6165a5744ac311682252f608,0,616733c7a7619c31ad766dd3,61481042c3f4bbe5169303e8,13334,https://cri-datacap.org/surveys/?s=WbkUAYE9iu
amazing-labrador,4,a,finished,3,14,2021-10-13 19:58:54.001,2021-10-13 20:12:00.389,0,1,prolific_6165a5744ac311682252f608,0,61673396f21bd9d057976d54,61661a63a847bd28eeb8ae46,13334,https://cri-datacap.org/surveys/?s=ioN72Vb8AM
happy-lion,4,a,finished,3,13,2021-10-13 19:59:24.866,2021-10-13 20:12:00.850,0,1,prolific_6165a5744ac311682252f608,0,616733f14cdaa202203437fd,615f54a5141128cf81b7e857,13334,https://cri-datacap.org/surveys/?s=vFudAbFVRx
allowing-foxhound,4,a,finished,3,13,2021-10-13 19:59:45.975,2021-10-13 20:12:41.064,1,0,prolific_6165a5744ac311682252f608,0,61673679e4e923fb10dacfe2,601127a944914c000981d59b,13334,https://cri-datacap.org/surveys/?s=xZzs2cZCDW
healthy-drum,4,a,finished,3,13,2021-10-13 20:05:32.782,2021-10-13 20:17:17.215,0,1,prolific_6165a5744ac311682252f608,0,616734e58ab22b351bd9674a,61119add8a41b7a570c9b3dc,13334,https://cri-datacap.org/surveys/?s=tW7MbqU3R7
logical-kite,4,a,finished,3,13,2021-10-13 20:11:05.979,2021-10-13 20:22:23.049,0,1,prolific_6165a5744ac311682252f608,0,616736494c4a34d599233c21,60fe0af3873870421eff21b4,13334,https://cri-datacap.org/surveys/?s=y9QVNXHJS8
casual-dodo,4,a,finished,3,13,2021-10-13 20:13:27.788,2021-10-13 20:29:21.214,1,0,prolific_6165a5744ac311682252f608,0,6167376fcc2c767911d9787b,59306fc35f170a00014358da,13334,https://cri-datacap.org/surveys/?s=E2WsIPvGEi
meet-bat,4,a,finished,3,13,2021-10-13 20:20:03.247,2021-10-13 20:30:51.477,0,1,prolific_6165a5744ac311682252f608,0,61673810004d1f81c85d53b3,6111260791585aed439870cb,13334,https://cri-datacap.org/surveys/?s=K7uFwshJHU
champion-newt,4,a,finished,3,13,2021-10-13 20:23:30.251,2021-10-13 20:34:44.899,1,0,prolific_6165a5744ac311682252f608,0,61673e7638e7a744daf5ecb9,610844f8fbe30946464b0821,13334,https://cri-datacap.org/surveys/?s=jAVrVKMMMM
internal-locust,4,a,finished,3,13,2021-10-13 20:24:40.364,2021-10-13 20:35:39.087,0,1,prolific_6165a5744ac311682252f608,0,616737dcf5c25a0274903570,6130bfc61844b33acb432063,13334,https://cri-datacap.org/surveys/?s=XdmQ3dTVcL
sacred-muskrat,4,a,finished,3,13,2021-10-13 20:33:04.771,2021-10-13 20:50:09.250,1,0,prolific_6165a5744ac311682252f608,0,61673fcdb274850873e4fbbc,61098efe1c7dcf4133162908,13334,https://cri-datacap.org/surveys/?s=RhZ5vRhJsW
assuring-ocelot,4,a,finished,3,13,2021-10-13 21:08:24.348,2021-10-13 21:20:26.030,1,0,prolific_6165a5744ac311682252f608,0,6167381153f1a1b8a4d401b3,6110c7c7357c98e590084151,13334,https://cri-datacap.org/surveys/?s=iZINX97imj
secure-egret,4,a,finished,3,13,2021-10-13 21:15:18.680,2021-10-13 21:26:36.141,0,1,prolific_6165a5744ac311682252f608,0,61674626ef0767034822ccf4,615f7fdf1f3a4a1f73923650,13334,https://cri-datacap.org/surveys/?s=Vy9QuYQaA3
capital-finch,4,a,finished,3,13,2021-10-13 21:54:00.425,2021-10-13 22:05:08.279,0,1,prolific_6165a5744ac311682252f608,0,61674f888474bd98c0a77a87,615630f6686c2ea1a0766e23,13334,https://cri-datacap.org/surveys/?s=AYQUDfZo7A
measured-ladybird,4,a,finished,3,13,2021-10-13 21:58:23.771,2021-10-13 22:11:35.684,1,0,prolific_6165a5744ac311682252f608,0,61674ff2e8e9fe7efb6ab70f,5e95116fcd40fa88e616d9d9,13334,https://cri-datacap.org/surveys/?s=cyJMonDGsG
first-duckling,4,a,finished,3,13,2021-10-13 22:47:00.334,2021-10-13 22:57:52.160,0,1,prolific_6165a5744ac311682252f608,0,61675a7e5c69563b7cc007a4,60fdf5cb2412188c37b6d133,13334,https://cri-datacap.org/surveys/?s=pNunKdsg9C
skilled-pika,4,a,started,1,1,2021-10-13 19:07:46.501,2021-10-13 19:07:55.958,1,0,prolific_6165a5744ac311682252f608,0,61671dad69396e335b9a9b89,6155bb4f5250fc58f16eca99,13334,https://cri-datacap.org/surveys/?s=Y3436JvkJQ
glorious-lizard,4,a,started,1,1,2021-10-13 20:04:29.465,2021-10-13 20:05:29.247,1,0,prolific_6165a5744ac311682252f608,0,616733aedb6d162dfb5c6dc0,6147ea1a656b3abd1064486d,13334,https://cri-datacap.org/surveys/?s=GzzwqUyJRx
